Data;Stawka;Obrót
2005-01-24;0,0543;2047
2005-01-25;0,0608;2992,5
2005-01-26;0,0733;2204
2005-01-27;0,0703;2970
2005-01-28;0,0537;2993
2005-01-31;0,0639;1735
2005-02-01;0,0634;1594
2005-02-02;0,063;2288
2005-02-03;0,0622;2713
2005-02-04;0,0642;1600
2005-02-07;0,0648;2645
2005-02-08;0,0636;2344,9
2005-02-09;0,0623;2199
2005-02-10;0,0622;2538
2005-02-11;0,0636;2792
2005-02-14;0,0635;2506
2005-02-15;0,0623;2440
2005-02-16;0,0627;3177
2005-02-17;0,0628;3480
2005-02-18;0,0572;2333
2005-02-21;0,0548;4211
2005-02-22;0,0524;1880
2005-02-23;0,0505;2839
2005-02-24;0,0533;2749
2005-02-25;0,0526;3188
2005-02-28;0,0604;2869
2005-03-01;0,0616;3085
2005-03-02;0,0616;3023
2005-03-03;0,0621;2150
2005-03-04;0,0668;4065
2005-03-07;0,0683;2705
2005-03-08;0,0653;1975
2005-03-09;0,0629;2617
2005-03-10;0,0628;2095
2005-03-11;0,064;2045
2005-03-14;0,0637;1790
2005-03-15;0,0629;3803
2005-03-16;0,0633;2797
2005-03-17;0,0661;2806
2005-03-18;0,0632;2222
2005-03-21;0,0641;1750
2005-03-22;0,0624;2474
2005-03-23;0,0632;2317
2005-03-24;0,0649;1480
2005-03-25;0,0605;2165
2005-03-29;0,0675;2323
2005-03-30;0,0785;3480
2005-03-31;0,0602;2590
2005-04-01;0,0607;3989
2005-04-04;0,061;1182
2005-04-05;0,0601;1629,5
2005-04-06;0,0604;2200
2005-04-07;0,0615;775
2005-04-11;0,0588;3364
2005-04-12;0,0534;3750
2005-04-13;0,0491;2792
2005-04-14;0,0504;4268,5
2005-04-15;0,0583;3339
2005-04-18;0,0629;2970
2005-04-19;0,0673;2990
2005-04-20;0,0615;2630
2005-04-21;0,0587;2495
2005-04-22;0,0554;4253
2005-04-25;0,0637;1335
2005-04-26;0,0623;3325
2005-04-27;0,0592;3031,5
2005-04-28;0,0578;2125
2005-04-29;0,0587;1884
2005-05-02;0,0545;1529
2005-05-04;0,0543;1963
2005-05-05;0,0531;2827
2005-05-06;0,0567;926
2005-05-09;0,0564;1570
2005-05-10;0,0554;4150
2005-05-11;0,05674;2555
2005-05-12;0,0588;4113
2005-05-13;0,0552;2150
2005-05-16;0,0546;3057
2005-05-17;0,0552;3479
2005-05-18;0,0551;2625
2005-05-19;0,0539;3638
2005-05-20;0,0532;1392
2005-05-23;0,0535;1653
2005-05-24;0,0526;3170
2005-05-25;0,0497;3930
2005-05-27;0,0549;3032
2005-05-30;0,0519;3150
2005-05-31;0,0541;2305
2005-06-01;0,0494;1813
2005-06-02;0,0508;2923
2005-06-03;0,0543;3206
2005-06-06;0,0553;3151
2005-06-07;0,0543;2387,5
2005-06-08;0,0535;3174
2005-06-09;0,0526;2592
2005-06-10;0,0548;1522
2005-06-13;0,0516;2993
2005-06-14;0,0518;3279
2005-06-15;0,0523;1710
2005-06-16;0,0544;1605
2005-06-17;0,0523;1938
2005-06-20;0,0508;1251
2005-06-21;0,0506;2840
2005-06-22;0,051;2365
2005-06-23;0,0514;2933
2005-06-24;0,048;3680
2005-06-27;0,0428;2498
2005-06-28;0,0407;2400
2005-06-29;0,0411;2980
2005-06-30;0,0496;1530
2005-07-01;0,0494;1420
2005-07-04;0,0503;1220
2005-07-05;0,0496;1151
2005-07-06;0,0482;1640
2005-07-07;0,0491;2399
2005-07-08;0,0504;2127
2005-07-11;0,0501;2515
2005-07-12;0,0508;2030
2005-07-13;0,0511;1089
2005-07-14;0,0516;1650
2005-07-15;0,0492;1735
2005-07-18;0,0502;1228,5
2005-07-19;0,0505;2370
2005-07-20;0,0504;3080
2005-07-21;0,0503;1245
2005-07-22;0,0492;2150
2005-07-25;0,0501;2410
2005-07-26;0,0475;1900
2005-07-27;0,0432;2568
2005-07-28;0,0442;2780
2005-07-29;0,0521;2852
2005-08-01;0,0465;2904
2005-08-02;0,0467;1134
2005-08-03;0,0468;2106
2005-08-04;0,047;2822
2005-08-05;0,0477;1710
2005-08-08;0,0474;2325
2005-08-09;0,0466;1845
2005-08-10;0,0467;2653
2005-08-11;0,0475;1618
2005-08-12;0,0479;2268
2005-08-16;0,0503;3670
2005-08-17;0,0507;1680
2005-08-18;0,049;3250
2005-08-19;0,047;1425
2005-08-22;0,0466;1354
2005-08-23;0,0465;1400,5
2005-08-24;0,0464;1740
2005-08-25;0,046;1583
2005-08-26;0,0467;3065
2005-08-29;0,0425;1790
2005-08-30;0,0395;3574
2005-08-31;0,0457;2695
2005-09-01;0,0451;2330
2005-09-02;0,0457;1370
2005-09-05;0,0462;1410
2005-09-06;0,0453;2230,5
2005-09-07;0,0447;4990
2005-09-08;0,0451;1788
2005-09-09;0,0451;3993
2005-09-12;0,0451;2009
2005-09-13;0,0447;2927
2005-09-14;0,0452;858
2005-09-15;0,0445;3810
2005-09-16;0,0447;5450
2005-09-19;0,0447;2150
2005-09-20;0,0445;1538
2005-09-21;0,0446;2524
2005-09-22;0,044;3020
2005-09-23;0,0454;2185
2005-09-26;0,0443;2570
2005-09-27;0,0473;1660
2005-09-28;0,0503;2828
2005-09-29;0,0594;1968
2005-09-30;0,0458;4008
2005-10-03;0,0455;2688
2005-10-04;0,0454;1951
2005-10-05;0,0452;1435
2005-10-06;0,045;878
2005-10-07;0,0454;2583
2005-10-10;0,0456;3129
2005-10-11;0,0452;1927
2005-10-12;0,045;2133
2005-10-13;0,0446;1888
2005-10-14;0,0451;2524
2005-10-17;0,0451;2428
2005-10-18;0,0452;2398
2005-10-19;0,0451;3093
2005-10-20;0,0448;2078
2005-10-21;0,0458;2598
2005-10-24;0,0452;1840
2005-10-25;0,0445;2873
2005-10-26;0,0429;4672
2005-10-27;0,0436;3433
2005-10-28;0,0482;2335
2005-10-31;0,0466;2404
2005-11-02;0,0462;3540
2005-11-03;0,0458;1393
2005-11-04;0,0453;3100
2005-11-07;0,0445;2296
2005-11-08;0,0441;1895
2005-11-09;0,0438;2534
2005-11-10;0,045;3380
2005-11-14;0,0451;1880
2005-11-15;0,0448;2318
2005-11-16;0,0456;2340
2005-11-17;0,0449;4723
2005-11-18;0,0448;2507
2005-11-21;0,0456;2590
2005-11-22;0,0448;1790
2005-11-23;0,0451;2075
2005-11-24;0,0447;2843
2005-11-25;0,042;2370
2005-11-28;0,0338;2680
2005-11-29;0,0316;2481
2005-11-30;0,0449;2399
2005-12-01;0,0445;2789
2005-12-02;0,0444;1315
2005-12-05;0,0442;1998
2005-12-06;0,0435;3902
2005-12-07;0,0421;3592
2005-12-08;0,0436;2350
2005-12-09;0,0428;3169
2005-12-12;0,0367;1675
2005-12-13;0,035;1513
2005-12-14;0,0365;3443
2005-12-15;0,0361;2734
2005-12-16;0,0453;5699
2005-12-19;0,0462;3763
2005-12-20;0,0455;3291,5
2005-12-21;0,0444;2592
2005-12-22;0,0448;2390
2005-12-23;0,0395;2935
2005-12-27;0,036;4100
2005-12-28;0,0379;4453
2005-12-29;0,0334;2281
2005-12-30;0,0395;2328
2006-01-02;0,0447;2857
2006-01-03;0,0448;3709
2006-01-04;0,0452;2516
2006-01-05;0,0452;1213
2006-01-06;0,0447;2770
2006-01-09;0,0447;2215
2006-01-10;0,0442;2792
2006-01-11;0,0441;3457
2006-01-12;0,0443;2370
2006-01-13;0,0445;2583
2006-01-16;0,0439;4038
2006-01-17;0,0443;4510
2006-01-18;0,0443;3886
2006-01-19;0,0445;3764
2006-01-20;0,0344;4459
2006-01-23;0,04;3495
2006-01-24;0,045;5600
2006-01-25;0,0452;5310
2006-01-26;0,046;4432
2006-01-27;0,045;2910
2006-01-30;0,04;5398
2006-01-31;0,0432;2855
2006-02-01;0,0426;3737
2006-02-02;0,0431;3689,5
2006-02-03;0,0428;3245
2006-02-06;0,0426;3036
2006-02-07;0,0424;3330
2006-02-08;0,0421;2640
2006-02-09;0,0425;4085
2006-02-10;0,0429;1700
2006-02-13;0,0427;2892
2006-02-14;0,0426;2926
2006-02-15;0,0421;3473
2006-02-16;0,0421;3669
2006-02-17;0,0426;3230
2006-02-20;0,0421;3528,5
